Country,Continente
Antigua and Barbuda,Americas
Argentina,Americas
Aruba,Americas
"Bahamas, The",Americas
Barbados,Americas
Belize,Americas
Bermuda,Americas
Bolivia,Americas
Brazil,Americas
British Virgin Islands,Americas
Canada,Americas
Cayman Islands,Americas
Chile,Americas
Colombia,Americas
Costa Rica,Americas
Cuba,Americas
Curacao,Americas
Dominica,Americas
Dominican Republic,Americas
Ecuador,Americas
El Salvador,Americas
Grenada,Americas
Guatemala,Americas
Guyana,Americas
Haiti,Americas
Honduras,Americas
Jamaica,Americas
Mexico,Americas
Nicaragua,Americas
Panama,Americas
Paraguay,Americas
Peru,Americas
Puerto Rico,Americas
Sint Maarten (Dutch part),Americas
St. Kitts and Nevis,Americas
St. Lucia,Americas
St. Martin (French part),Americas
St. Vincent and the Grenadines,Americas
Suriname,Americas
Trinidad and Tobago,Americas
Turks and Caicos Islands,Americas
United States,Americas
Uruguay,Americas
"Venezuela, RB",Americas
Virgin Islands (U.S.),Americas
